duration_min,hour,trip_distance,naive_eta,abs_err
35.05,19,18.17,34.93333333333334,0.11666666666666003
7.15,10,0.8,5.583333333333333,1.5666666666666673
12.683333333333334,16,2.13,17.575000000000003,4.891666666666669
15.783333333333333,10,3.95,16.0,0.21666666666666679
2.15,21,0.2,3.4166666666666665,1.2666666666666666
22.8,22,15.0,30.65833333333333,7.858333333333331
27.566666666666666,13,6.25,24.45,3.116666666666667
11.666666666666666,14,1.5,10.6,1.0666666666666664
9.05,10,1.2,9.65,0.5999999999999996
5.383333333333334,12,0.89,5.883333333333334,0.5
11.333333333333334,10,2.69,16.0,4.666666666666666
5.266666666666667,3,0.97,4.941666666666666,0.3250000000000002
16.516666666666666,13,2.32,17.45,0.9333333333333336
3.1166666666666667,1,0.42,3.066666666666667,0.04999999999999982
10.6,21,1.35,9.016666666666667,1.5833333333333321
7.016666666666667,21,1.63,9.016666666666667,2.000000000000001
7.583333333333333,3,1.54,8.416666666666666,0.833333333333333
5.85,9,0.9,5.383333333333334,0.4666666666666659
12.35,14,2.45,17.716666666666665,5.366666666666665
10.883333333333333,20,1.68,9.033333333333333,1.8499999999999996
9.95,23,1.9,8.083333333333334,1.8666666666666654
24.466666666666665,10,1.59,9.65,14.816666666666665
19.233333333333334,21,3.27,14.483333333333334,4.75
8.616666666666667,11,0.97,5.816666666666666,2.8000000000000007
6.083333333333333,18,0.4,3.7666666666666666,2.3166666666666664
12.783333333333333,15,2.04,17.766666666666666,4.9833333333333325
30.4,11,14.91,33.86666666666667,3.4666666666666686
4.75,19,0.73,5.583333333333333,0.833333333333333
4.25,6,1.26,7.341666666666667,3.091666666666667
20.45,14,3.34,17.716666666666665,2.7333333333333343
4.416666666666667,0,1.2,9.125,4.708333333333333
25.716666666666665,22,6.79,19.65,6.066666666666666
41.65,16,16.2,43.483333333333334,1.8333333333333357
6.816666666666666,5,1.67,6.908333333333333,0.09166666666666679
5.133333333333334,2,0.7,5.35,0.2166666666666659
8.6,18,1.84,10.533333333333333,1.9333333333333336
4.4,12,0.74,5.883333333333334,1.4833333333333334
17.666666666666668,18,1.82,10.533333333333333,7.133333333333335
14.483333333333333,19,2.86,15.791666666666668,1.3083333333333353
12.466666666666667,2,2.67,14.95,2.4833333333333325
31.133333333333333,6,16.4,33.63333333333333,2.5
13.283333333333333,14,2.28,17.716666666666665,4.433333333333332
3.0166666666666666,8,0.83,5.083333333333333,2.0666666666666664
10.133333333333333,12,1.3,10.183333333333334,0.05000000000000071
26.683333333333334,17,1.75,10.45,16.233333333333334
22.433333333333334,20,3.6,15.15,7.283333333333333
20.15,12,12.31,34.7,14.550000000000004
12.216666666666667,9,1.39,9.2,3.0166666666666675
22.516666666666666,21,3.75,14.483333333333334,8.033333333333331
8.75,5,1.32,6.908333333333333,1.8416666666666668
9.883333333333333,18,1.85,10.533333333333333,0.6500000000000004
18.216666666666665,18,1.5,10.533333333333333,7.683333333333332
10.65,11,1.45,10.033333333333333,0.6166666666666671
5.116666666666666,19,0.81,5.583333333333333,0.4666666666666668
6.9,17,0.44,3.9166666666666665,2.983333333333334
15.3,21,2.3,14.483333333333334,0.8166666666666664
10.4,13,1.97,10.2,0.20000000000000107
2.033333333333333,15,0.49,3.408333333333333,1.375
50.733333333333334,14,16.43,42.425,8.308333333333337
24.9,17,1.9,10.45,14.45
3.5833333333333335,9,1.07,9.2,5.616666666666665
18.5,11,4.76,17.183333333333334,1.3166666666666664
22.45,18,3.7,17.416666666666668,5.033333333333331
14.15,10,2.44,16.0,1.8499999999999996
5.7,0,2.41,16.283333333333335,10.583333333333336
2.7,9,0.39,3.15,0.44999999999999973
4.683333333333334,15,0.61,6.091666666666667,1.4083333333333332
14.233333333333333,14,1.85,10.6,3.633333333333333
10.316666666666666,13,2.53,17.45,7.133333333333333
25.083333333333332,15,3.09,17.766666666666666,7.316666666666666
6.0,16,0.83,6.233333333333333,0.2333333333333334
